University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,Latitude,Longitude
1001–1200,University Rey Juan Carlos,Spain,"43,160",20.3,7%,59:41:00,24.4–29.7,15.4,13.2,47.4,38.3,38.8,,
1001–1200,Rikkyo University,Japan,"20,014",15.1,5%,,24.4–29.7,16.5,8.7,41.0,37.4,49.2,35.7305,139.7025
1001–1200,Robert Gordon University,United Kingdom,"8,955",19.1,25%,60:40:00,24.4–29.7,17.7,12.9,33.9,38.2,79.9,57.1189,-2.1379
1001–1200,Rochester Institute of Technology,United States,"14,520",15.7,16%,36 : 64,24.4–29.7,20.9,19.2,43.5,38.2,41.5,43.0848,-77.6715
1001–1200,Rowan University,United States,"17,912",14.4,3%,47:53:00,24.4–29.7,30.7,11.3,45.6,37.3,31.3,39.71,-75.1192
1001–1200,Sahand University of Technology,Iran,"4,595",24.5,0%,35 : 65,24.4–29.7,20.2,15.6,48.7,55.1,19.3,37.9284,46.1449
1001–1200,Sakarya University,Turkey,"40,331",25.1,8%,54:46:00,24.4–29.7,21.2,11.3,46.2,54.2,27.3,40.744,30.3399
1001–1200,Universidad San Francisco de Quito,Ecuador,"10,338",13.6,5%,49:51:00,24.4–29.7,16.7,9.8,42.8,37.7,65.6,-0.1969,-78.4357
1001–1200,University of Sargodha,Pakistan,"23,740",31.0,0%,53:47:00,24.4–29.7,28.1,10.7,39.2,37.3,43.2,32.0737,72.6803
1001–1200,Semnan University of Medical Sciences and Health Services,Iran,"3,536",8.3,7%,64:36:00,24.4–29.7,20.9,9.2,47.6,37.0,25.0,,
1001–1200,University of Seville,Spain,"49,155",16.7,12%,58:42:00,24.4–29.7,20.3,22.6,39.5,40.6,45.4,37.3808,-5.9912
1001–1200,Shahid Beheshti University of Medical Sciences,Iran,"12,850",8.7,3%,58:42:00,24.4–29.7,38.6,14.8,35.8,50.9,21.7,35.8001,51.3981
1001–1200,Shahrekord University,Iran,"7,268",21.1,0%,56:44:00,24.4–29.7,17.7,12.7,48.7,37.7,19.3,32.3526,50.8261
1001–1200,Shahrood University of Technology,Iran,"8,221",21.1,1%,44:56:00,24.4–29.7,25.1,16.6,46.1,37.6,28.1,36.3932,54.9404
1001–1200,Shanghai Maritime University,China,"23,263",16.7,2%,46:54:00,24.4–29.7,15.8,11.2,50.6,48.4,32.0,30.8741,121.9054
1001–1200,Sidi Mohamed Ben Abdellah University,Morocco,"90,045",53.3,2%,48:52:00,24.4–29.7,23.9,10.4,40.7,36.9,23.4,34.0338,-4.9799
1001–1200,Siksha ‘O’ Anusandhan,,"13,990",12.4,1%,54:46:00,24.4–29.7,28.6,14.8,46.3,52.8,16.0,20.259,85.792
1001–1200,University of Social Welfare and Rehabilitation Sciences,Iran,"1,746",10.9,2%,68:32:00,24.4–29.7,29.4,19.5,33.1,41.4,33.1,,
1001–1200,Sogang University,South Korea,"9,625",24.0,15%,46:54:00,24.4–29.7,24.8,25.9,28.4,51.7,39.0,37.5509,126.941
1001–1200,Sohag University,Egypt,"60,248",26.4,0%,56:44:00,24.4–29.7,14.2,8.3,52.2,37.4,44.9,26.4569,31.6681
1001–1200,University of South Africa,South Africa,"236,282",232.2,3%,73:27:00,24.4–29.7,30.4,25.5,29.3,37.6,42.6,,
1001–1200,University of South Dakota,United States,"7,129",14.7,3%,63:37:00,24.4–29.7,35.2,15.0,30.1,36.9,24.9,42.7883,-96.9253
1001–1200,University of the South Pacific,Fiji,"12,052",36.6,1%,58:42:00,24.4–29.7,15.8,16.3,45.3,43.1,69.0,-18.148,178.4476
1001–1200,South Valley University,Egypt,"52,035",30.0,1%,57:43:00,24.4–29.7,13.7,8.4,53.6,37.0,46.1,26.1921,32.7453
1001–1200,University of South Wales,United Kingdom,"15,625",15.4,21%,53:47:00,24.4–29.7,16.9,11.0,33.0,38.5,70.9,-33.9173,151.2313
1001–1200,University of Split,Croatia,"19,363",16.3,2%,57:43:00,24.4–29.7,15.7,13.4,49.7,37.9,37.3,43.511,16.4681
1001–1200,Ştefan cel Mare University of Suceava,Romania,"9,239",24.8,14%,59:41:00,24.4–29.7,16.9,12.0,52.0,37.5,33.5,47.6411,26.2439
1001–1200,St Marianna University School of Medicine,Japan,833,0.9,1%,39 : 61,24.4–29.7,26.7,8.6,39.4,37.1,17.6,35.5998,139.5485
1001–1200,University of Sunderland,United Kingdom,"12,050",15.9,40%,60:40:00,24.4–29.7,16.9,9.6,35.3,37.1,69.6,,
1001–1200,SWPS University of Social Sciences and Humanities,Poland,"14,522",37.6,8%,78:22:00,24.4–29.7,15.4,16.3,38.5,37.3,52.0,,
1001–1200,University of Szeged,Hungary,"20,023",12.5,22%,55:45:00,24.4–29.7,23.2,15.5,33.3,39.6,60.8,46.2499,20.1464
1001–1200,Tallinn University,Estonia,"4,178",9.6,16%,71:29:00,24.4–29.7,19.7,18.8,22.4,39.0,68.9,59.4387,24.7714
1001–1200,Technical University of Crete,Greece,"6,597",31.6,4%,37 : 63,24.4–29.7,14.1,11.9,57.4,41.4,43.4,35.5293,24.0687
1001–1200,Technical University of Madrid,Spain,"38,976",15.6,16%,32 : 68,24.4–29.7,22.5,15.3,36.5,45.2,52.7,40.4486,-3.7193
1001–1200,Technological University Dublin,Ireland,"20,686",18.7,21%,44:56:00,24.4–29.7,17.8,12.3,33.1,37.5,72.6,53.3579,-6.2873
1001–1200,Teesside University,United Kingdom,"13,135",19.3,20%,57:43:00,24.4–29.7,19.1,12.7,42.5,37.2,69.1,54.5707,-1.2353
1001–1200,University of Texas Rio Grande Valley,United States,"29,420",23.5,3%,60:40:00,24.4–29.7,18.1,23.7,40.7,37.1,36.0,26.3082,-98.174
1001–1200,Tokyo Medical University,Japan,"1,370",1.7,1%,45:55:00,24.4–29.7,28.2,11.5,39.8,44.5,19.0,35.6936,139.7122
1001–1200,Tokyo Metropolitan University,,"8,829",10.6,6%,39 : 61,24.4–29.7,24.5,14.6,34.1,39.9,30.0,35.6172,139.3772
1001–1200,Toyota Technological Institute,Japan,489,9.4,2%,0.397222222,24.4–29.7,23.5,17.5,30.4,59.9,26.0,35.1066,136.983
1001–1200,University of Trás-os-Montes and Alto Douro,Portugal,"7,123",11.1,8%,55:45:00,24.4–29.7,17.1,19.4,31.9,36.9,44.2,41.2885,-7.7391
1001–1200,Universiti Tunku Abdul Rahman (UTAR),Malaysia,"18,183",15.8,3%,51:49:00,24.4–29.7,16.1,14.9,49.8,39.7,35.6,4.3348,101.1351
1001–1200,Urmia University,Iran,"13,910",27.2,2%,50:50:00,24.4–29.7,24.2,16.4,38.6,40.9,22.4,37.5289,45.0485
1001–1200,"University of Veterinary and Animal Sciences, Lahore",Pakistan,"7,087",19.6,1%,50:50:00,24.4–29.7,16.3,13.9,38.4,54.8,45.0,31.5753,74.3001
1001–1200,"Vietnam National University, Hanoi",Vietnam,"48,070",15.3,1%,63:37:00,24.4–29.7,18.7,9.6,45.9,38.9,45.5,21.038,105.7824
1001–1200,University of Vigo,Spain,"17,613",15.4,6%,51:49:00,24.4–29.7,18.7,16.5,44.5,40.6,44.6,42.1696,-8.6834
1001–1200,Waseda University,Japan,"46,799",14.6,13%,39 : 61,24.4–29.7,29.3,23.8,27.6,41.1,47.0,35.7087,139.7196
1001–1200,University of Westminster,United Kingdom,"16,945",20.8,50%,61:39:00,24.4–29.7,18.6,18.4,35.9,37.3,82.9,51.517,-0.1432
1001–1200,Wuhan University of Technology,China,"55,426",14.9,2%,30 : 70,24.4–29.7,19.4,15.2,48.3,55.7,23.2,30.5987,114.3425
1001–1200,Xidian University,China,"37,205",16.0,1%,27 : 73,24.4–29.7,22.0,20.4,40.8,78.4,21.1,34.1216,108.8404
1001–1200,Yarmouk University,Jordan,"36,443",33.2,10%,69:31:00,24.4–29.7,29.4,11.1,33.6,38.2,49.8,32.5378,35.8553
1001–1200,Yasouj University,Iran,"5,713",23.6,0%,56:44:00,24.4–29.7,14.8,13.6,53.8,38.5,18.5,,
1001–1200,Yıldız Technical University,,"25,532",26.0,11%,48:52:00,24.4–29.7,25.7,26.7,29.3,100.0,32.0,41.0521,29.0107
1001–1200,University of Zaragoza,Spain,"28,085",10.1,8%,54:46:00,24.4–29.7,21.1,16.3,35.0,40.7,40.3,41.6421,-0.9015
1001–1200,Zhejiang Gongshang University,China,"22,676",15.8,5%,61:39:00,24.4–29.7,16.9,11.0,53.8,40.1,32.8,30.3088,120.3885
1001–1200,Zhejiang University of Technology,China,"32,095",14.5,6%,,24.4–29.7,18.2,18.4,49.1,65.1,24.5,,
1001–1200,University of Žilina,Slovakia,"7,545",13.4,3%,35 : 65,24.4–29.7,21.3,18.2,29.7,45.3,33.0,49.2033,18.7552
1001–1200,University of Zimbabwe,Zimbabwe,"20,598",23.9,0%,51:49:00,24.4–29.7,14.8,23.3,35.6,43.1,50.0,-17.7824,31.0546
1201–1500,Université 8 Mai 1945 Guelma,Algeria,"17,530",20.1,1%,67:33:00,18.4–24.3,16.2,8.6,41.3,37.0,36.5,36.4516,7.4189
1201–1500,Abdelmalek Essaâdi University,Morocco,"112,677",88.2,1%,50:50:00,18.4–24.3,27.4,9.5,16.2,36.9,28.0,35.5606,-5.3646
1201–1500,Acharya Nagarjuna University,India,"4,872",7.9,7%,38 : 62,18.4–24.3,42.4,9.7,18.2,42.5,24.1,16.3763,80.5277
1201–1500,Acıbadem University,,"2,784",6.1,3%,74:26:00,18.4–24.3,22.4,11.4,18.0,38.7,24.9,40.9784,29.1103
1201–1500,Adolfo Ibáñez University,Chile,"10,573",25.7,5%,38 : 62,18.4–24.3,15.6,17.2,20.0,38.1,60.4,-33.4884,-70.5183
1201–1500,AGH University of Krakow,Poland,"20,240",12.7,3%,35 : 65,18.4–24.3,20.6,18.6,18.7,56.8,25.5,50.0645,19.9233
1201–1500,Aichi Medical University,Japan,"1,323",2.9,1%,57:43:00,18.4–24.3,26.5,12.4,31.6,41.1,18.7,35.193,137.0495
1201–1500,Universitas Airlangga,,"26,142",7.7,2%,66:34:00,18.4–24.3,23.4,10.5,27.6,38.4,38.5,-7.2696,112.7826
1201–1500,Akdeniz University,Turkey,"44,434",32.7,3%,33 : 67,18.4–24.3,15.5,10.8,27.8,38.1,19.7,36.8958,30.6502
1201–1500,University of Alicante,Spain,"22,094",14.4,10%,58:42:00,18.4–24.3,20.3,18.4,23.1,39.3,41.3,38.3847,-0.514
1201–1500,Anadolu University,Turkey,"20,815",17.0,3%,53:47:00,18.4–24.3,23.1,11.3,32.9,40.5,22.9,39.7896,30.5007
1201–1500,"University of the Andes, Chile",Chile,"9,405",18.9,3%,58:42:00,18.4–24.3,17.8,14.3,28.0,40.2,48.1,-33.404,-70.5075
1201–1500,Andhra University,India,"9,048",13.2,6%,49:51:00,18.4–24.3,38.4,9.9,21.7,40.3,20.4,17.7259,83.3244
1201–1500,Universidad Andrés Bello (UNAB),Chile,"46,325",19.5,4%,54:46:00,18.4–24.3,14.3,9.4,29.8,37.8,50.4,,
1201–1500,Ankara University,Turkey,"71,311",15.2,5%,46:54:00,18.4–24.3,18.8,11.0,25.6,37.7,27.4,39.9349,32.8339
1201–1500,University of Antioquia,Colombia,"38,437",21.5,0%,51:49:00,18.4–24.3,17.2,14.9,25.0,43.3,37.8,6.2677,-75.5688
1201–1500,"Arab Academy for Science, Technology and Maritime Transport",Egypt,"32,049",13.8,12%,33 : 67,18.4–24.3,23.3,10.4,24.0,39.8,45.5,,
1201–1500,Arak University,Iran,"6,379",21.3,6%,67:33:00,18.4–24.3,17.9,12.9,24.9,37.2,23.5,34.0796,49.6774
1201–1500,Ariel University,Israel,"12,418",20.7,0%,49:51:00,18.4–24.3,15.8,18.9,15.5,40.1,31.4,32.1032,35.2077
1201–1500,Atatürk University,Turkey,"56,419",30.2,3%,51:49:00,18.4–24.3,18.8,14.0,37.2,37.3,20.4,39.8994,41.2442
1201–1500,Austral University of Chile,Chile,"17,434",17.5,1%,53:47:00,18.4–24.3,16.5,14.4,24.0,44.4,51.4,-39.8062,-73.2517
1201–1500,Banasthali University,India,"10,092",17.1,5%,100:00:00,18.4–24.3,34.7,11.0,26.3,43.2,21.8,26.4035,75.8745
1201–1500,Bandung Institute of Technology (ITB),Indonesia,"20,915",13.9,2%,44:56:00,18.4–24.3,22.6,25.8,15.3,88.8,34.7,-6.8915,107.6107
1201–1500,Bangladesh Agricultural University (BAU),Bangladesh,"9,918",17.3,1%,34 : 66,18.4–24.3,17.3,10.2,33.7,40.7,46.3,24.7196,90.4267
1201–1500,Bangladesh University of Engineering and Technology,Bangladesh,"6,268",13.0,0%,0.970833333,18.4–24.3,18.1,13.4,33.0,37.8,25.7,23.7266,90.3927
1201–1500,University of Benin,Nigeria,"47,468",25.2,0%,50:50:00,18.4–24.3,14.7,8.7,28.3,36.9,27.1,6.3998,5.6099
1201–1500,Bezmiâlem Vakif University,Turkey,"2,904",9.5,6%,71:29:00,18.4–24.3,27.7,10.7,27.2,41.0,24.3,41.0188,28.9351
1201–1500,BINUS University,Indonesia,"15,331",14.3,4%,41:59:00,18.4–24.3,17.6,14.3,24.4,43.8,27.0,,
1201–1500,Bozok University,Turkey,"14,642",16.8,6%,50:50:00,18.4–24.3,13.8,8.7,30.2,38.4,27.7,39.7765,34.8005
1201–1500,University of Brasília,Brazil,"45,737",15.2,1%,52:48:00,18.4–24.3,27.3,15.8,23.5,49.5,31.2,-15.7632,-47.8706
1201–1500,The British University in Egypt,Egypt,"11,042",16.2,3%,46:54:00,18.4–24.3,15.1,8.7,41.9,37.1,30.1,30.1178,31.606
1201–1500,Brno University of Technology,Czech Republic,"18,762",16.6,23%,29 : 71,18.4–24.3,18.6,17.8,17.1,42.7,56.2,49.2015,16.6036
1201–1500,Bu-Ali Sina University,Iran,"10,838",23.4,1%,56:44:00,18.4–24.3,16.5,15.6,29.0,38.4,22.0,34.7922,48.4884
1201–1500,University of Bucharest,Romania,"31,267",32.7,2%,68:32:00,18.4–24.3,24.3,16.8,23.1,37.6,29.4,44.4355,26.1017
1201–1500,Budapest University of Technology and Economics,Hungary,"18,728",17.0,12%,31 : 69,18.4–24.3,19.1,17.5,18.0,43.6,39.1,47.4813,19.0555
1201–1500,University of Cadiz,Spain,"18,672",16.8,9%,56:44:00,18.4–24.3,17.6,16.4,32.6,38.4,39.8,36.5376,-6.3005
1201–1500,Canterbury Christ Church University,United Kingdom,"10,740",17.8,14%,69:31:00,18.4–24.3,24.7,12.8,26.4,37.0,47.7,51.2795,1.0899
1201–1500,University of Carthage,Tunisia,"28,962",9.9,1%,67:33:00,18.4–24.3,19.0,9.8,19.1,38.3,44.2,36.8705,10.3344
1201–1500,The Catholic University of Korea,,"9,782",7.1,4%,60:40:00,18.4–24.3,25.1,18.9,24.9,41.2,20.1,37.5858,127.0048
1201–1500,Catholic University of the North,Chile,"11,343",20.4,3%,47:53:00,18.4–24.3,14.3,17.0,27.4,38.2,57.1,-23.679,-70.4097
1201–1500,Chang Gung University of Science and Technology,Taiwan,"6,326",26.5,1%,90:10:00,18.4–24.3,13.6,16.1,29.4,47.8,19.3,25.0303,121.3897
1201–1500,"University of Chemistry and Technology, Prague",Czech Republic,"4,006",8.0,22%,58:42:00,18.4–24.3,26.2,13.4,15.8,41.5,51.4,50.1033,14.3899
1201–1500,University of Chester,United Kingdom,"10,435",18.0,15%,68:32:00,18.4–24.3,18.8,12.9,18.7,37.6,56.5,53.2003,-2.8998
1201–1500,Chosun University,South Korea,"21,073",27.3,3%,48:52:00,18.4–24.3,17.8,22.2,16.9,81.3,29.6,35.1415,126.9321
1201–1500,Chungbuk National University,,"17,219",14.2,5%,44:56:00,18.4–24.3,20.3,20.2,20.9,42.9,26.6,36.6284,127.4592
1201–1500,Chungnam National University,South Korea,"21,244",20.7,4%,47:53:00,18.4–24.3,26.7,24.6,18.7,46.1,24.3,36.3688,127.3469
1201–1500,Chung Yuan Christian University,Taiwan,"15,037",31.3,9%,46:54:00,18.4–24.3,17.2,21.9,26.6,48.5,42.9,24.9574,121.2408
1201–1500,Cochin University of Science and Technology,India,"3,969",16.9,1%,60:40:00,18.4–24.3,37.8,18.6,12.8,37.4,16.9,10.0431,76.3243
1201–1500,University of Colorado Colorado Springs,United States,"12,380",21.2,1%,55:45:00,18.4–24.3,17.1,12.7,32.9,38.4,24.7,38.8966,-104.8049
1201–1500,University of Concepción,Chile,"28,112",17.1,2%,52:48:00,18.4–24.3,16.4,14.0,30.1,49.9,50.7,-36.8295,-73.0342
1201–1500,Corvinus University of Budapest,Hungary,"11,225",21.3,15%,53:47:00,18.4–24.3,16.0,12.2,23.0,37.2,43.5,47.4862,19.0583
1201–1500,Czech Technical University in Prague,Czech Republic,"16,217",8.8,20%,0.847916667,18.4–24.3,23.2,16.1,15.5,48.4,58.2,50.103,14.3913
1201–1500,Damghan University,Iran,"4,980",28.6,0%,62:38:00,18.4–24.3,18.1,13.3,25.4,39.1,23.4,36.168,54.3242
1201–1500,De La Salle University,,"12,941",14.9,3%,50:50:00,18.4–24.3,18.1,13.4,23.6,36.9,25.6,14.5648,120.9932
1201–1500,Del Rosario University,Colombia,"11,751",13.2,2%,59:41:00,18.4–24.3,16.8,11.6,25.3,38.4,48.4,,
1201–1500,Democritus University of Thrace,Greece,"22,230",37.0,4%,56:44:00,18.4–24.3,15.2,13.8,36.9,37.9,32.6,41.1365,25.3724
1201–1500,Dokuz Eylül University,Turkey,"56,233",17.6,3%,47:53:00,18.4–24.3,18.4,13.3,20.9,95.8,21.7,38.4307,27.1369
1201–1500,Ege University,Turkey,"33,062",18.5,4%,57:43:00,18.4–24.3,21.8,13.3,19.0,46.7,24.1,38.4575,27.2282
1201–1500,Ehime University,Japan,"9,204",13.3,2%,38 : 62,18.4–24.3,20.7,15.3,21.7,44.0,27.1,33.8528,132.7744
1201–1500,El Bosque University,Colombia,"12,721",6.6,0%,65:35:00,18.4–24.3,20.3,7.8,19.7,37.9,44.1,4.7103,-74.0322
1201–1500,The University of Electro-Communications,Japan,"4,662",15.4,6%,0.561111111,18.4–24.3,19.9,21.1,10.5,44.3,32.6,,
1201–1500,Erciyes University,Turkey,"50,212",36.2,4%,47:53:00,18.4–24.3,20.0,14.1,23.7,68.9,24.1,38.7103,35.5337
1201–1500,Escuela Superior Politécnica del Litoral,Ecuador,"11,549",12.8,1%,38 : 62,18.4–24.3,16.1,10.2,35.0,37.0,54.3,-2.1479,-79.9646
1201–1500,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,"22,458",9.1,0%,56:44:00,18.4–24.3,24.9,12.4,17.4,39.9,24.2,-22.9112,-43.2361
1201–1500,Universidade Federal do ABC (UFABC),Brazil,"16,706",22.2,1%,35 : 65,18.4–24.3,17.6,15.4,32.6,38.1,34.9,-23.6442,-46.5285
1201–1500,Universidade Federal da Bahia,Brazil,"45,692",17.4,0%,51:49:00,18.4–24.3,24.6,11.1,25.6,37.2,24.6,-13.0037,-38.51
1201–1500,Federal University of Espírito Santo,Brazil,"23,475",13.4,1%,54:46:00,18.4–24.3,20.4,12.2,22.5,42.1,24.8,-20.277,-40.3047
1201–1500,Federal University of Goiás,Brazil,"25,511",13.7,1%,50:50:00,18.4–24.3,22.5,13.0,19.2,38.8,23.7,-16.6062,-49.2615
1201–1500,Federal University of Lavras,Brazil,"14,637",18.4,1%,52:48:00,18.4–24.3,24.7,17.1,15.7,54.3,23.1,-21.2318,-44.9948
1201–1500,Universidade Federal do Paraná (UFPR),Brazil,"33,621",13.4,0%,63:37:00,18.4–24.3,25.4,16.0,15.2,39.1,23.9,-25.4268,-49.2619
1201–1500,Federal University of Rio Grande do Norte (UFRN),Brazil,"37,879",14.7,0%,40 : 60,18.4–24.3,22.2,10.1,34.0,38.5,27.1,-5.8397,-35.2017
1201–1500,Federal University of Santa Maria,Brazil,"27,242",13.7,1%,53:47:00,18.4–24.3,22.1,12.1,33.9,37.8,21.5,-29.7209,-53.7148
1201–1500,Federal University of São Carlos,Brazil,"20,314",15.4,1%,50:50:00,18.4–24.3,28.1,19.0,18.4,42.8,26.1,-21.984,-47.8815
1201–1500,Federal University of Uberlândia,Brazil,"25,748",13.6,1%,52:48:00,18.4–24.3,23.0,11.1,34.6,39.4,21.4,-18.9185,-48.2582
1201–1500,Federal University of Viçosa,Brazil,"16,436",13.3,2%,55:45:00,18.4–24.3,28.3,16.7,15.2,43.7,21.7,-20.761,-42.8702
1201–1500,Federico Santa María Technical University,Chile,"22,405",30.0,3%,26 : 74,18.4–24.3,14.0,12.0,27.3,39.4,54.8,-33.0352,-71.5968
1201–1500,University of Fort Hare,South Africa,"13,626",38.4,2%,57:43:00,18.4–24.3,22.5,12.4,22.5,37.0,43.9,-32.7859,26.8459
1201–1500,University of La Frontera,Chile,"11,053",22.0,1%,50:50:00,18.4–24.3,16.0,12.9,28.8,37.1,49.7,-38.7461,-72.617
1201–1500,Fujian Normal University,China,"31,697",14.2,2%,,18.4–24.3,17.3,10.5,43.9,39.3,23.5,,
1201–1500,Université de Gabès,Tunisia,"13,152",12.8,1%,75:25:00,18.4–24.3,18.1,9.3,25.7,36.9,42.1,33.8534,10.1019
1201–1500,Universitas Gadjah Mada,Indonesia,"38,089",8.1,4%,55:45:00,18.4–24.3,25.6,17.3,11.3,71.7,36.2,-7.7714,110.3775
1201–1500,Gazi University,Turkey,"41,358",20.6,3%,50:50:00,18.4–24.3,27.5,16.2,23.0,92.7,18.9,39.9396,32.8223
1201–1500,University of Gdańsk,Poland,"19,970",23.9,2%,67:33:00,18.4–24.3,18.4,15.5,19.1,38.0,34.7,54.3961,18.5743
1201–1500,Gdańsk University of Technology,Poland,"14,816",19.9,5%,38 : 62,18.4–24.3,17.7,15.1,33.3,45.0,29.9,54.3717,18.6163
1201–1500,Gebze Technical University,Turkey,"8,403",22.7,2%,43:57:00,18.4–24.3,20.5,14.4,22.1,44.1,25.5,40.808,29.3595
1201–1500,Georgia Southern University,United States,"22,885",18.8,3%,59:41:00,18.4–24.3,21.9,11.4,33.9,39.4,28.0,32.4207,-81.787
1201–1500,German University in Cairo,Egypt,"11,937",14.9,1%,44:56:00,18.4–24.3,15.0,8.8,38.4,36.9,43.0,29.9868,31.4413
1201–1500,Gifu University,Japan,"7,216",7.5,5%,38 : 62,18.4–24.3,25.7,13.0,17.2,42.1,26.1,35.4651,136.7372
1201–1500,Government College University Lahore,Pakistan,"11,276",19.4,0%,42:58:00,18.4–24.3,17.5,11.5,21.0,37.3,43.7,31.5732,74.3079
1201–1500,Grand Valley State University,United States,"20,972",15.3,1%,61:39:00,18.4–24.3,26.7,9.0,19.2,37.0,30.6,42.9641,-85.889
1201–1500,Gunma University,Japan,"6,300",7.7,5%,38 : 62,18.4–24.3,24.2,13.0,17.1,40.7,23.5,36.4308,139.0451
1201–1500,Gyeongsang National University,,"12,996",12.3,3%,47:53:00,18.4–24.3,20.8,17.0,21.2,40.9,26.4,35.153,128.1011
1201–1500,Hallym University,South Korea,"7,947",9.4,4%,,18.4–24.3,19.8,18.7,18.4,45.1,21.4,37.8868,127.7352
1201–1500,Harbin Engineering University,China,"29,861",18.7,3%,1.011805556,18.4–24.3,24.6,23.2,18.6,79.3,21.7,45.7732,126.6641
1201–1500,Hasanuddin University,Indonesia,"33,601",14.6,1%,60:40:00,18.4–24.3,18.4,10.9,25.5,44.5,26.4,-5.1342,119.4881
1201–1500,The Hashemite University,,"16,647",27.9,7%,61:39:00,18.4–24.3,14.3,13.5,23.7,42.8,54.5,32.1029,36.1811
1201–1500,Université Hassan II de Casablanca,Morocco,"124,623",36.0,2%,52:48:00,18.4–24.3,19.4,8.6,30.3,38.6,24.6,33.5938,-7.632
1201–1500,Université Polytechnique Hauts-de-France,France,"13,633",21.2,13%,46:54:00,18.4–24.3,15.4,8.1,32.6,37.7,76.2,50.3263,3.5168
1201–1500,Helwan University,Egypt,"127,379",19.3,2%,53:47:00,18.4–24.3,15.5,8.3,31.1,37.3,39.7,29.8661,31.3162
1201–1500,Hosei University,Japan,"30,300",39.2,4%,38 : 62,18.4–24.3,16.7,10.0,27.8,38.3,31.8,35.6958,139.7416
1201–1500,University of Hradec Králové,Czech Republic,"6,390",12.3,3%,65:35:00,18.4–24.3,17.0,13.6,30.0,39.3,57.6,50.2089,15.8305
1201–1500,Hungarian University of Agriculture and Life Sciences,Hungary,"10,474",10.5,14%,53:47:00,18.4–24.3,21.1,13.3,21.0,37.7,56.2,,
1201–1500,University of Ilorin,Nigeria,"40,901",34.8,1%,48:52:00,18.4–24.3,19.8,10.7,35.8,36.9,33.5,8.4859,4.6746
1201–1500,Incheon National University,South Korea,"13,210",17.3,3%,,18.4–24.3,17.9,14.6,25.2,38.6,29.8,37.375,126.6322
1201–1500,Indian Institute of Science Education and Research Bhopal,India,"1,724",14.1,0%,32 : 68,18.4–24.3,27.8,15.8,19.2,36.9,20.2,23.2858,77.2755
1201–1500,International Hellenic University,Greece,"45,009",49.0,1%,54:46:00,18.4–24.3,11.7,10.8,34.4,37.3,31.2,40.5361,23.0092
1201–1500,IPB University,Indonesia,"23,580",6.7,3%,58:42:00,18.4–24.3,26.1,9.7,17.6,53.1,40.4,,
1201–1500,University of Isfahan,Iran,"16,756",24.7,4%,61:39:00,18.4–24.3,30.6,17.2,21.9,38.5,27.9,32.7177,51.5259
1201–1500,Istanbul Medipol University,,"24,332",20.4,11%,65:35:00,18.4–24.3,14.1,9.5,28.2,38.0,34.8,,
1201–1500,Ivan Franko National University of Lviv,Ukraine,"18,357",10.0,1%,65:35:00,18.4–24.3,20.6,9.5,4.2,37.6,30.9,49.8403,24.0223
1201–1500,Jawaharlal Nehru Technological University Anantapur (JNTUA),India,"5,683",16.1,0%,38 : 62,18.4–24.3,26.0,12.3,34.1,37.3,16.0,14.6497,77.6072
1201–1500,Jeju National University,,"11,741",17.6,4%,52:48:00,18.4–24.3,19.3,15.6,22.4,40.0,23.0,33.4553,126.5616
1201–1500,Jianghan University,China,"19,522",15.5,2%,55:45:00,18.4–24.3,15.2,11.5,40.4,44.4,20.5,,
1201–1500,Kagawa University,Japan,"6,369",9.9,2%,42:58:00,18.4–24.3,20.3,12.2,20.8,42.3,28.9,34.3422,134.0371
1201–1500,Kanazawa Medical University,Japan,"1,090",2.2,2%,54:46:00,18.4–24.3,25.7,8.9,18.8,37.9,19.5,36.6553,136.6465
1201–1500,Kangwon National University,,"22,104",22.0,3%,41:59:00,18.4–24.3,20.3,19.4,19.1,39.9,23.1,37.8695,127.7445
1201–1500,Karabük University,Turkey,"47,263",41.8,22%,39 : 61,18.4–24.3,13.1,8.8,37.2,37.2,42.6,41.2107,32.6555
1201–1500,Kaunas University of Technology,Lithuania,"8,361",14.2,8%,34 : 66,18.4–24.3,18.2,15.9,21.3,43.8,44.3,54.899,23.9128
1201–1500,Kharazmi University,Iran,"12,607",19.0,4%,54:46:00,18.4–24.3,31.3,14.1,19.4,38.0,24.6,35.7038,51.4267
1201–1500,Khon Kaen University,Thailand,"34,434",18.1,2%,59:41:00,18.4–24.3,22.1,14.4,19.2,49.5,32.2,16.4744,102.822
1201–1500,Khulna University of Engineering and Technology (KUET),Bangladesh,"5,562",15.0,0%,1.011805556,18.4–24.3,14.3,9.2,45.7,37.0,24.3,22.9006,89.5024
1201–1500,King Mongkut's University of Technology North Bangkok,Thailand,"27,055",22.8,0%,43:57:00,18.4–24.3,16.6,10.3,31.5,39.1,23.0,13.8191,100.5143
1201–1500,Kitasato University,Japan,"8,605",5.2,1%,54:46:00,18.4–24.3,23.9,10.1,20.3,41.3,17.9,35.6448,139.7256
1201–1500,Kochi University of Technology,Japan,"2,593",20.3,2%,25 : 75,18.4–24.3,25.2,14.3,10.1,42.0,33.7,10.0431,76.3243
